PLAYER,MARKET,LINE,ODDS,IMPLIED_PROB,HOME_TEAM,AWAY_TEAM,GAME
Sam Merrill,3PM,2.5,-161,0.6168582375478927,Cleveland Cavaliers,Houston Rockets,Houston Rockets @ Cleveland Cavaliers
Reed Sheppard,3PM,2.5,104,0.49019607843137253,Cleveland Cavaliers,Houston Rockets,Houston Rockets @ Cleveland Cavaliers
Kevin Durant,3PM,2.5,141,0.4149377593360996,Cleveland Cavaliers,Houston Rockets,Houston Rockets @ Cleveland Cavaliers
De'Andre Hunter,3PM,2.5,145,0.40816326530612246,Cleveland Cavaliers,Houston Rockets,Houston Rockets @ Cleveland Cavaliers
Jabari Smith Jr,3PM,1.5,-158,0.6124031007751938,Cleveland Cavaliers,Houston Rockets,Houston Rockets @ Cleveland Cavaliers
Lonzo Ball,3PM,1.5,-144,0.5901639344262295,Cleveland Cavaliers,Houston Rockets,Houston Rockets @ Cleveland Cavaliers
Evan Mobley,3PM,1.5,114,0.4672897196261682,Cleveland Cavaliers,Houston Rockets,Houston Rockets @ Cleveland Cavaliers
Josh Okogie,3PM,0.5,-217,0.6845425867507886,Cleveland Cavaliers,Houston Rockets,Houston Rockets @ Cleveland Cavaliers
Alperen Sengun,3PM,0.5,-169,0.6282527881040892,Cleveland Cavaliers,Houston Rockets,Houston Rockets @ Cleveland Cavaliers
Amen Thompson,3PM,0.5,116,0.46296296296296297,Cleveland Cavaliers,Houston Rockets,Houston Rockets @ Cleveland Cavaliers
Tyrese Maxey,AST,7.5,112,0.4716981132075472,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Immanuel Quickley,AST,6.5,110,0.47619047619047616,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Scottie Barnes,AST,5.5,110,0.47619047619047616,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Jamal Shead,AST,4.5,106,0.4854368932038835,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Brandon Ingram,AST,3.5,-158,0.6124031007751938,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
R.J. Barrett,AST,3.5,-149,0.5983935742971888,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
Quentin Grimes,AST,3.5,-142,0.5867768595041323,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
VJ Edgecombe,AST,3.5,-140,0.5833333333333334,Philadelphia 76ers,Toronto Raptors,Toronto Raptors @ Philadelphia 76ers
