PLAYER,TEAM,TEAM_FULL,GAME_DATE,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT,r3_EFG,r5_EFG,r3_TS,r5_TS
Mason Plumlee,CHA,Charlotte Hornets,2025-11-15,1.3333333333333333,1.0,0.0,0.0,33.333333333333336,25.0,24.15458937198068,18.11594202898551
Mark Sears,MIL,Milwaukee Bucks,2025-11-15,3.6666666666666665,4.75,22.222222222222218,29.166666666666664,66.66666666666667,62.5,63.402061855670105,65.28204284565328
Garrett Temple,TOR,Toronto Raptors,2025-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thanasis Antetokounmpo,MIL,Milwaukee Bucks,2025-11-15,0.6666666666666666,0.6666666666666666,0.0,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
Jarred Vanderbilt,LAL,Los Angeles Lakers,2025-11-15,3.0,4.2,33.333333333333336,30.0,33.333333333333336,30.0,32.99180327868853,31.4229889439573
Julian Strawther,DEN,Denver Nuggets,2025-11-15,1.3333333333333333,4.0,0.0,0.0,13.333333333333334,18.0,13.333333333333329,29.239004586121343
Antonio Reeves,CHA,Charlotte Hornets,2025-11-15,4.5,4.5,30.0,30.0,37.5,37.5,37.5,37.5
Andre Jackson Jr.,MIL,Milwaukee Bucks,2025-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Johnson,WSH,Washington Wizards,2025-11-16,1.6666666666666667,1.4,0.0,0.0,8.333333333333334,11.666666666666666,32.60059612518629,26.22702434177844
Stephon Castle,SA,San Antonio Spurs,2025-11-16,13.333333333333334,14.6,16.666666666666668,16.666666666666664,53.47222222222221,49.22008547008547,56.51115138979261,53.455345006857975
Tyson Etienne,BKN,Brooklyn Nets,2025-11-16,2.0,1.5,27.777777777777775,20.833333333333332,41.666666666666664,31.25,41.666666666666664,31.25
Kyle Filipowski,UTAH,Utah Jazz,2025-11-16,10.666666666666666,9.6,27.777777777777775,26.666666666666664,61.13095238095238,52.78968253968253,63.74503206300441,56.785750110111806
Bismack Biyombo,SA,San Antonio Spurs,2025-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jett Howard,ORL,Orlando Magic,2025-11-16,5.333333333333333,4.4,38.888888888888886,40.0,59.72222222222223,56.833333333333336,59.72222222222223,56.833333333333336
Zaccharie Risacher,ATL,Atlanta Hawks,2025-11-16,13.666666666666666,14.2,40.27777777777778,39.404761904761905,76.67124542124542,67.23651348651347,73.49319937226986,65.48542648283541
Jordan Miller,LAC,LA Clippers,2025-11-16,9.333333333333334,9.333333333333334,23.80952380952381,23.80952380952381,50.55555555555555,50.55555555555555,57.30168051386895,57.30168051386895
Alex Sarr,WSH,Washington Wizards,2025-11-16,16.333333333333332,17.2,39.99999999999999,23.999999999999996,52.569444444444436,50.8063725490196,52.349806201550386,51.715737721371895
Justin Champagnie,WSH,Washington Wizards,2025-11-16,1.3333333333333333,2.0,0.0,0.0,11.111111111111109,9.999999999999998,17.182130584192443,18.041237113402065
Domantas Sabonis,SAC,Sacramento Kings,2025-11-16,21.0,20.4,16.666666666666668,16.666666666666664,51.620370370370374,51.021241830065364,57.15644925020812,57.07866976723481
Derrick Jones Jr.,LAC,LA Clippers,2025-11-16,9.333333333333334,9.2,16.666666666666668,10.0,46.666666666666664,41.21428571428571,51.82445759368837,49.04171607304859
E.J. Liddell,BKN,Brooklyn Nets,2025-11-16,2.0,1.5,16.666666666666668,12.5,41.666666666666664,31.25,39.81481481481482,29.86111111111111
Caris LeVert,DET,Detroit Pistons,2025-11-17,13.0,12.6,25.0,36.0,67.99242424242425,72.46212121212122,65.92367176885344,72.78963820875872
Taelon Peter,IND,Indiana Pacers,2025-11-17,2.6666666666666665,2.2,16.666666666666664,16.666666666666664,28.571428571428573,24.642857142857146,28.571428571428573,24.642857142857146
Bryce McGowens,NO,New Orleans Pelicans,2025-11-17,4.666666666666667,3.6,0.0,0.0,44.444444444444436,26.666666666666664,51.03092783505156,76.07310215557638
Tre Mann,CHA,Charlotte Hornets,2025-11-17,7.666666666666667,8.4,22.222222222222218,29.904761904761905,49.12698412698413,52.47619047619048,49.12698412698413,52.47619047619048
Caleb Martin,DAL,Dallas Mavericks,2025-11-17,2.6666666666666665,2.0,0.0,0.0,16.666666666666668,20.0,38.22229973258923,32.93337983955354
Bobby Portis,MIL,Milwaukee Bucks,2025-11-17,10.333333333333334,11.6,61.11111111111111,48.666666666666664,57.14285714285714,62.20238095238095,61.065357962803034,64.5558814443485
Bogdan Bogdanovic,LAC,LA Clippers,2025-11-17,13.666666666666666,12.8,33.05555555555555,38.49999999999999,52.96296296296296,55.527777777777786,56.38537391700866,59.87630631741831
AJ Green,MIL,Milwaukee Bucks,2025-11-17,13.333333333333334,11.2,50.0,46.666666666666664,70.0,62.83333333333333,75.60263653483993,66.63276836158192
Wendell Moore Jr.,DET,Detroit Pistons,2025-11-17,2.0,2.0,0.0,0.0,55.55555555555555,55.55555555555555,55.55555555555555,55.55555555555555
Cam Christie,LAC,LA Clippers,2025-11-17,2.3333333333333335,6.4,8.333333333333334,24.999999999999996,23.80952380952381,45.42857142857143,61.68831168831169,67.48350855493712
Brook Lopez,LAC,LA Clippers,2025-11-17,3.6666666666666665,6.0,27.777777777777775,36.666666666666664,41.66666666666667,51.28571428571429,47.31753812636166,55.9898466289869
Ousmane Dieng,OKC,Oklahoma City Thunder,2025-11-17,4.0,3.4,0.0,6.666666666666666,31.944444444444443,25.166666666666668,31.944444444444446,27.67006802721088
James Harden,LAC,LA Clippers,2025-11-17,35.333333333333336,32.8,37.37373737373738,34.32900432900432,49.42424242424243,51.36469038208169,59.87339509807202,61.43025318377687
Jericho Sims,MIL,Milwaukee Bucks,2025-11-17,1.3333333333333333,1.2,0.0,0.0,50.0,40.0,50.0,40.0
Isaac Jones,DET,Detroit Pistons,2025-11-17,1.5,1.5,0.0,0.0,25.0,25.0,53.40909090909091,53.40909090909091
Paul George,PHI,Philadelphia 76ers,2025-11-17,9.0,9.0,25.0,25.0,27.77777777777778,27.77777777777778,37.25165562913907,37.25165562913907
Keshad Johnson,MIA,Miami Heat,2025-11-17,0.0,0.5,0.0,0.0,0.0,12.5,0.0,12.5
Aaron Gordon,DEN,Denver Nuggets,2025-11-17,21.666666666666668,20.0,39.99999999999999,46.0,61.111111111111114,60.07575757575758,64.9171578244778,64.10555367988754
Karlo Matkovic,NO,New Orleans Pelicans,2025-11-17,6.0,6.8,22.222222222222218,33.33333333333333,88.88888888888887,83.83333333333334,88.8888888888889,84.5408163265306
Myles Turner,MIL,Milwaukee Bucks,2025-11-17,12.0,14.2,68.33333333333333,51.357142857142854,68.05555555555556,58.80952380952381,69.06753407682776,63.687303037706826
Dwight Powell,DAL,Dallas Mavericks,2025-11-17,0.0,0.4,0.0,0.0,0.0,10.0,0.0,10.0
Nicolas Batum,LAC,LA Clippers,2025-11-17,8.0,6.4,37.61904761904762,35.904761904761905,60.31746031746032,60.19047619047619,65.22301577932554,63.13380946759533
Gary Harris,MIL,Milwaukee Bucks,2025-11-17,6.0,3.6,38.888888888888886,23.333333333333332,64.44444444444444,38.66666666666667,64.44444444444444,38.66666666666667
Nikola Jovic,MIA,Miami Heat,2025-11-17,3.3333333333333335,9.4,8.333333333333334,17.571428571428573,25.793650793650794,36.851190476190474,27.32664698095917,38.605486742095266
Miles Kelly,DAL,Dallas Mavericks,2025-11-17,2.0,2.0,0.0,0.0,50.0,50.0,50.0,50.0
Giannis Antetokounmpo,MIL,Milwaukee Bucks,2025-11-17,23.666666666666668,27.6,33.333333333333336,30.0,63.333333333333336,61.97777777777778,65.4484255714208,64.02985097034211
Gary Trent Jr.,MIL,Milwaukee Bucks,2025-11-17,11.0,7.6,57.77777777777777,41.33333333333333,61.388888888888886,48.33333333333333,62.56535947712418,49.03921568627451
Monte Morris,IND,Indiana Pacers,2025-11-17,1.6666666666666667,3.0,0.0,13.333333333333332,44.444444444444436,46.666666666666664,53.3096926713948,51.98581560283687
Sam Merrill,CLE,Cleveland Cavaliers,2025-11-17,15.0,12.4,44.444444444444436,34.166666666666664,72.22222222222221,53.83333333333333,72.74567537725433,55.74299346164671
Jaden McDaniels,MIN,Minnesota Timberwolves,2025-11-17,14.333333333333334,16.0,36.11111111111111,45.0,69.44444444444444,69.66666666666666,70.1064489458454,71.78829047416573
Joan Beringer,MIN,Minnesota Timberwolves,2025-11-17,2.6666666666666665,3.2,0.0,0.0,50.0,70.0,53.82513661202186,69.7369424323294
Ivica Zubac,LAC,LA Clippers,2025-11-17,19.0,17.6,0.0,0.0,62.393162393162406,62.29304029304029,65.51383544114266,63.219865890535935
Cooper Flagg,DAL,Dallas Mavericks,2025-11-17,17.333333333333332,18.8,33.33333333333332,32.57142857142857,63.63782051282052,60.84935897435897,63.027063211735815,60.76483916218653
Jalen Pickett,DEN,Denver Nuggets,2025-11-17,2.6666666666666665,3.2,66.66666666666667,45.0,75.0,56.66666666666667,75.0,57.422360248447205
Johnny Juzang,MIN,Minnesota Timberwolves,2025-11-17,1.6666666666666667,1.6,16.666666666666668,30.0,36.11111111111111,51.666666666666664,36.11111111111111,51.666666666666664
Collin Murray-Boyles,TOR,Toronto Raptors,2025-11-17,7.666666666666667,7.6,33.333333333333336,50.0,75.0,67.5,81.30055380701943,70.16922117310055
Leonard Miller,MIN,Minnesota Timberwolves,2025-11-17,1.0,2.2,0.0,0.0,16.666666666666668,40.0,25.531914893617017,43.39143809279672
Chris Paul,LAC,LA Clippers,2025-11-17,1.6666666666666667,2.2,33.333333333333336,35.0,36.11111111111111,35.166666666666664,36.11111111111111,35.166666666666664
